NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
210052140022;2021;11;F;2;3;1;1;10;1;;0;;;;;;;;3515707;Ferraz de Vasconcelos;35;SP;1;1;1;1;911;880;890;902;433.9;367.5;475.2;460.2;ECDDBDDDAEADDCBBCCBADEAACCDECCBACCBBBBABBBBCB;ACAACCBBBCBCABDBCCBCBBAABCCBABBCBCDAACDACADED;99999EADCDDEAEABAACDACEECDAEAEEAAECEDCEABBACDECDCB;BCABCBABCBECCBBACCACBAECDBCBCDCDCBCADEEECCCCB;1;CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB;BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC;ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD;ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA;1;60;120;80;80;80;420;B;E;A;B;4;C;A;B;B;A;A;B;A;A;A;A;A;A;B;B;A;C;A;A;A
210054141766;2021;3;F;1;3;1;2;0;2;1;0;5216304;Paranaiguara;52;GO;2;1;1;5218508;Quirinópolis;52;GO;1;1;1;1;910;879;889;900;499.1;478.9;475.9;377.5;BADECDCCDCDDBECCBDBEACAEDAAABEEBEDBDBEBBDEBEA;ADECDAABCADADBEDBCAAADABAAABEAABBCBBCEAAAECDC;99999EDCADBBCDEDDABEACAABABCBCEEAABAEBBCBBAADBBDAB;CDECAEDBECCDBBCBAEEDBADBACBCEEBCACECADBEBDDCA;1;ADCDCDBBBECDCCDCBCBDABCAADCBEBABEEBBBCABEDEDE;BADCBADBCEDDEBBADBCABEECCAEABEBAAECBBABAAEEBB;CAABBCAEAABDCDEADCEDBEDDDABBBBDEBCEADABDBACACDCDDC;DDCABDCCAEDCEBBDBDAEEBADCAECDBCCCCDDCEEBABXEE;1;120;120;120;140;120;620;E;E;A;A;4;D;A;C;D;B;A;B;B;B;A;A;A;A;B;A;A;C;A;B;B
210052757131;2021;7;F;1;1;1;1;5;1;;0;;;;;;;;3550308;São Paulo;35;SP;1;1;1;1;912;882;891;901;523.1;581.8;526;526.9;DADCAEDBECEACEEBBDACCCEDBDCCBCCADACBCCBABECCD;EBAAAAEEEDEBAABBECBCAAADBBBCCEBABCBCDABCCCCBC;ABAAB99999DEBABBBDAADACABBEAADABDDDCDAADAADECCBCBA;ADCAECCEDDCCADEADDEAAAEECEDACCBAABCADBCDABCAB;0;DABCEDEBEEBBCABEDDCBCBECDADCDAACBDCCCDBBBEBAB;EBAAEADBCACBBABEECBAAEEBBBADCBADBCEDDEBBCAEAB;ACABBACAEADCEADABDACDCEABDDADBEDDDEBBACCDDDCCEBBBB;DCCAEBABDDCABEECCBCCEXADDCEECDEBADCABBDBDEDCE;1;100;120;120;120;100;560;D;D;C;B;2;C;A;B;C;A;A;B;B;B;A;B;A;B;B;A;A;C;A;A;B
210054167331;2021;2;F;1;1;1;3;0;1;;1;;;;;;;;2919801;Macaúbas;29;BA;1;1;1;1;911;880;890;902;499.1;550.6;491.2;520;CCCDABCBBAEAAEDABBBCEBAACBDADBDACAABACACBECCE;DAADAAEEBBEDBEBEAAEACBBBACEEBBDABABBADDDDCEEC;99999AAACABDAAEBBADCBEEEAABEBBEBEEDAEECCBCABAABCAA;CADEACBAECACCBBECDDCDAEDADDCCBDDEABACDAAEBCEB;1;CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB;BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC;ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD;ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA;1;120;120;140;140;160;680;C;B;A;A;3;B;A;B;D;B;B;B;A;A;A;A;A;A;B;A;A;D;A;A;B
210051614727;2021;9;F;1;3;1;1;6;1;;0;;;;;;;;3305554;Seropédica;33;RJ;1;1;1;1;912;882;891;901;541.1;579.5;557.5;511.7;CCBCEECBECCBBBAEEBAACBACADDCBCDBBAABCCBCDECBB;DCEDAAEDEAEBDABEEBAAAADCBBAECCDDDDDDDDBACAEAA;99999CCAEADEDBECAAAADBEABDEAEDDDAEDBDDBDDADACEBCBE;DDDEEBEEBDCCCDAADBCCCABBCCECEEAEBDACCABABBCBB;1;DABCEDEBEEBBCABEDDCBCBECDADCDAACBDCCCDBBBEBAB;EBAAEADBCACBBABEECBAAEEBBBADCBADBCEDDEBBCAEAB;ACABBACAEADCEADABDACDCEABDDADBEDDDEBBACCDDDCCEBBBB;DCCAEBABDDCABEECCBCCEXADDCEECDEBADCABBDBDEDCE;1;100;120;120;80;80;500;A;B;C;B;3;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
210051413489;2021;3;F;1;3;1;2;0;2;1;0;;;;;;;;2202000;Buriti dos Lopes;22;PI;1;1;1;1;911;880;890;902;529.4;482.2;546.3;642.2;CCBBBACBBEBCDECECCBCAACAACBCCCEDCCDBDCBCBECAA;ABAEADDCBBAACACACAEADBCAAAEBCABCDAEAABCDEBADC;99999AAA.A.ABABDAAECBCDEEDADAAEDDAEBBDADBDADDDCDBD;DBBCBABCDDDCCDADCCBAECECACBABCACEABDBDBBAAACA;1;CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB;BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC;ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD;ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA;1;160;180;140;160;160;800;B;B;A;A;3;B;A;B;E;A;A;B;A;A;A;A;A;A;A;A;A;B;A;A;B
210053320694;2021;8;F;1;3;1;1;5;1;;0;;;;;;;;2927408;Salvador;29;BA;1;1;1;1;909;881;892;899;507.4;636;564;553.9;DDADCCBCAEDDDCDDCCCBBEDEDDDCDCCCDCDCCCCDDCDCC;BDCCCBEBBABBEADCAACEBDEBBEADBCBDAEACBBDCCEBBA;99999AAECDDDACDEBCBEDDDDCBECEDDBBCAEADBAAECDBAACDD;CCDEBADBEBDACBDCDDDCCDABDDBCBCECCCCDBCEDCBBBD;1;EDECABEDABCBEBACCDCBBEEBBCBDAAECDCBDCDBBBADCD;BEECCAEABADBCAEBAAEEDDEBBBADBCBAAEEBBBADCCBBA;ABBACAAECACDBDDADEBDDCBDCEDBEDDBBBBDCEEAADABACACDC;EEXEBABDDCECCBCCECDCAEBADEABBDBDEDCEDCCADDCAB;1;160;200;160;160;160;840;D;E;B;D;4;D;A;B;C;B;A;B;A;B;A;A;A;A;B;A;A;E;A;B;B
210051900681;2021;3;F;1;1;1;3;0;1;;1;;;;;;;;4314407;Pelotas;43;RS;1;1;1;1;912;882;891;901;524;614.6;579.6;687.6;CADBECECEBCCDADDCACDCEEDBBBACEABDCCCCBBACCCEB;BAABCABDBACBBABCECCCAAAEBBEDCCBDBCECEEBBCAEBA;ECBAC99999DEEADBBAAACBEABDAADDADDADBDABDDBCBCEBBEA;BDCAEAACDDEDDEBCABABADADDAEBCDBDEDCAABCBBECDC;0;DABCEDEBEEBBCABEDDCBCBECDADCDAACBDCCCDBBBEBAB;EBAAEADBCACBBABEECBAAEEBBBADCBADBCEDDEBBCAEAB;ACABBACAEADCEADABDACDCEABDDADBEDDDEBBACCDDDCCEBBBB;DCCAEBABDDCABEECCBCCEXADDCEECDEBADCABBDBDEDCE;1;160;140;120;140;140;700;C;F;C;B;2;E;A;B;C;B;A;B;B;B;A;B;A;B;C;A;B;C;B;B;B
210051748765;2021;5;F;1;2;1;1;3;1;;0;;;;;;;;2516201;Sousa;25;PB;1;1;1;1;911;880;890;902;506.6;433.7;434.2;387.3;CABADCDCEDEBBEDDBEADDEDCBDEABCADEDCDEABDCEEBD;EBDABCEDCBAACDEADEBCABCBDCEEDCBACEABCBECCEDCD;99999ABAEDDCEABEEDCDBEBDBDBEDACDBCBBCCEDEADBCAACBB;BADCAACBDEADABEACDACDCBDEDABDDEBCDEBADABACABE;1;CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB;BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC;ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD;ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA;1;120;120;120;120;140;620;H;H;A;A;3;B;A;B;D;A;B;B;A;A;A;A;A;A;B;A;A;D;A;B;B
210053441236;2021;3;F;1;3;1;1;1;1;;0;;;;;;;;3118601;Contagem;31;MG;1;1;1;1;912;882;891;901;573.5;623.9;528.4;616.7;BCBAECEBECDACBBDEDDACABCEADEEEABECBCCCDECACDB;EDACEACCCAEABABEEBBAADECCBEBCCBABCEDDABECAEBB;99999ECACADDEAEEADBADBCBBBEADBADBDEABCAEDCCBCBDBEB;DCEABDADDBCCDBEECBCEBADDCEBECCDAABBCDCABDBABA;1;DABCEDEBEEBBCABEDDCBCBECDADCDAACBDCCCDBBBEBAB;EBAAEADBCACBBABEECBAAEEBBBADCBADBCEDDEBBCAEAB;ACABBACAEADCEADABDACDCEABDDADBEDDDEBBACCDDDCCEBBBB;DCCAEBABDDCABEECCBCCEXADDCEECDEBADCABBDBDEDCE;1;140;180;120;160;160;760;F;E;D;B;4;F;A;C;D;B;A;B;A;B;B;B;A;A;B;A;A;D;A;C;B
210052080162;2021;2;F;1;2;1;2;0;2;1;0;2312908;Sobral;23;CE;2;1;1;2312908;Sobral;23;CE;1;1;1;1;909;881;892;899;476.8;525.9;510.5;465.5;ECDADEBBADCBDCEABBEABEDDCBDDECEDDEDDDBCEBAABC;BCCEEDEBBADBBADDEBDEEBBDECDEBAAACDEBDBEDCEBBA;99999EAECAEBADEAAEDBAEABCBEABBDCBECDCBBAACCDACADEA;DABCDCBECEACCDDACBCCBDADEABDBEBAECEACDCDBBCDC;1;EDECABEDABCBEBACCDCBBEEBBCBDAAECDCBDCDBBBADCD;BEECCAEABADBCAEBAAEEDDEBBBADBCBAAEEBBBADCCBBA;ABBACAAECACDBDDADEBDDCBDCEDBEDDBBBBDCEEAADABACACDC;EEXEBABDDCECCBCCECDCAEBADEABBDBDEDCEDCCADDCAB;1;120;120;120;120;80;560;D;D;B;B;5;B;A;C;D;B;B;B;B;B;A;B;A;B;D;A;A;E;A;A;B
210053153092;2021;11;F;1;3;1;1;7;1;;0;;;;;;;;5107909;Sinop;51;MT;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;E;D;F;B;4;D;A;B;D;A;B;B;A;B;A;A;A;B;B;A;A;E;A;B;B
210051133009;2021;3;F;1;1;1;2;0;2;1;0;;;;;;;;2903904;Bom Jesus da Lapa;29;BA;1;1;1;1;910;879;889;900;529.7;628;561.9;656.9;AABCCCCDACCBCBACEBEABDCEDAEBCBCEEEAADBCEEBECE;EEECCADBCADDEBBADBCABCEECAECAEBAAACACDABAEECB;99999DEEAABDEDEBDEBCBDBAEADBEEAECCDADCBDDAABBBBDDC;DDCDDDDEDDBBBCBCDDAABCDDAECEBBDACDBDECEBADBEA;1;ADCDCDBBBECDCCDCBCBDABCAADCBEBABEEBBBCABEDEDE;BADCBADBCEDDEBBADBCABEECCAEABEBAAECBBABAAEEBB;CAABBCAEAABDCDEADCEDBEDDDABBBBDEBCEADABDBACACDCDDC;DDCABDCCAEDCEBBDBDAEEBADCAECDBCCCCDDCEEBABXEE;1;140;120;120;160;80;620;E;G;F;D;4;F;A;C;E;B;B;B;B;B;A;A;A;A;B;B;A;D;A;B;B
210054295057;2021;4;F;1;3;1;1;1;1;;0;;;;;;;;3170107;Uberaba;31;MG;1;1;1;1;911;880;890;902;626.5;587.6;559.8;666.9;CCAADAABEBADDECEBADCBCDABCDBACADCCCABBDEBEBBE;CBDDAEEABBDBACBEACDAAEBEACBBABEDDEBDDADDBBECC;AEAEA99999CDAABBBACCBBEEAACDAAEADEDBDCACDDDBDEDEBD;DACCACCCEEDDEEBDEACACAEBAABEDADAEDAAADBCEACDD;0;CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB;BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC;ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD;ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA;1;160;200;160;180;200;900;E;E;B;D;2;D;A;B;C;A;A;B;B;A;A;A;A;A;C;A;A;C;B;B;B
210051955254;2021;2;F;3;3;1;2;0;2;1;0;2314003;Várzea Alegre;23;CE;2;1;1;2314003;Várzea Alegre;23;CE;1;1;1;1;910;879;889;900;415.8;407.6;491.9;489;DBAECCACBABABADEBCAAABBEEACADECACCADDBECAAECA;ECDBDCEBCAABAABCDEBDEABBDAACDEADBACABAACAABDB;99999EDAAAADADCAABBCAAECCBBAEEDAACEACCBDBEBDCBDCDE;BDECCEDCACABBABAACADADABAADCEEEACAACCACECCACA;1;ADCDCDBBBECDCCDCBCBDABCAADCBEBABEEBBBCABEDEDE;BADCBADBCEDDEBBADBCABEECCAEABEBAAECBBABAAEEBB;CAABBCAEAABDCDEADCEDBEDDDABBBBDEBCEADABDBACACDCDDC;DDCABDCCAEDCEBBDBDAEEBADCAECDBCCCCDDCEEBABXEE;1;120;120;80;120;80;520;B;B;A;A;3;B;A;B;C;A;A;B;A;A;A;B;A;A;B;A;A;C;A;A;A
210053111733;2021;2;F;1;1;1;2;0;2;1;0;;;;;;;;5218003;Porangatu;52;GO;1;1;1;1;911;880;890;902;386;379.9;340.9;405.6;DACBEECBADBDCEDCBDECAEDCEBCDCEDDCADAEEBDDCAEC;DACDDEEAEBDADBDEADEDBDADEEACCBBCDADBDCBDCBDEB;99999CADBEBEAEDBCCECCBEBEACBBDDAAEBACBEADDEBECAEEB;AABACAABCAECCADECAABAABDCCEAABBAEDBAECCDADCBA;1;CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB;BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC;ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD;ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA;1;40;120;40;60;80;340;D;E;F;F;4;C;A;B;B;B;A;B;A;B;A;B;A;A;B;A;A;B;A;B;B
210054015317;2021;2;M;1;2;1;2;0;2;1;0;2607901;Jaboatão dos Guararapes;26;PE;2;1;1;2611606;Recife;26;PE;1;1;1;1;1014;1000;1004;1010;490.5;545.7;502.4;684.4;CCACCABAEDEBAEDEDAAEACAACAEACCABBDAAABAAAEABA;DBBCADEADDABEACCBDACAECEDCAEABBBBAEEDAABAADBD;DCCDA99999DCAAABBACDDCEAEABBAAEADEDBBCACAADDCAECDB;DAECABBAAEBDAEDDCDBBEEEEDBCABEDCCDCDEDBDCDCEB;0;CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB;BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC;ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD;ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA;1;80;120;100;140;140;580;B;C;F;F;3;B;A;B;C;B;A;B;B;A;A;A;A;A;B;A;A;D;A;A;B
210052814043;2021;3;F;1;3;1;1;1;1;;0;;;;;;;;1506203;Salinópolis;15;PA;1;1;1;1;911;880;890;902;443.3;512.1;483.8;445.8;CBBBBDAEEAADBEECBCDBCEDAEDDEAEBABDECBADDECDCC;DBABDEBDEADCECBAAADCADCAACBBBABCEEBECBCBDBADE;AACDA99999BAAADCBEBDBCEABEBEDAEDEEDBCABCBADDACCCDE;BEEBDCBDEABABDBBBECCAEABDCBDCDAAADBCCDBEACACB;0;CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB;BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC;ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD;ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA;1;140;120;120;120;120;620;E;E;C;B;5;C;A;C;C;B;A;B;A;A;A;A;A;A;B;A;A;D;A;A;B
